session_id,time,value,peak_opacity,opacity_change_rate,significant_changes,duration,ambient_light_level,clearing_time,timestamp
ID65671,87.0,1088.0,,,,,,,
ID65671,216.0,1088.0,,,,,,,
ID65671,345.0,1088.0,,,,,,,
ID65671,473.0,1088.0,,,,,,,
ID65671,602.0,1072.0,,,,,,,
ID65671,731.0,1088.0,,,,,,,
ID65671,859.0,1088.0,,,,,,,
ID65671,988.0,1088.0,,,,,,,
ID65671,1117.0,1072.0,,,,,,,
ID65671,1245.0,1088.0,,,,,,,
ID65671,1374.0,1088.0,,,,,,,
ID65671,1503.0,1088.0,,,,,,,
ID65671,1631.0,1088.0,,,,,,,
ID65671,1760.0,1088.0,,,,,,,
ID65671,1888.0,1088.0,,,,,,,
ID65671,2017.0,1088.0,,,,,,,
ID65671,2146.0,1088.0,,,,,,,
ID65671,2275.0,1072.0,,,,,,,
ID65671,2403.0,1088.0,,,,,,,
ID65671,2532.0,1040.0,,,,,,,
ID65671,2661.0,1072.0,,,,,,,
ID65671,2790.0,1088.0,,,,,,,
ID65671,2918.0,1072.0,,,,,,,
ID65671,3047.0,1088.0,,,,,,,
ID65671,3176.0,1088.0,,,,,,,
ID65671,3304.0,1088.0,,,,,,,
ID65671,3433.0,1088.0,,,,,,,
ID65671,3562.0,1088.0,,,,,,,
ID65671,3690.0,1088.0,,,,,,,
ID65671,3819.0,1088.0,,,,,,,
ID65671,3947.0,1088.0,,,,,,,
ID65671,4076.0,1088.0,,,,,,,
ID65671,4205.0,1088.0,,,,,,,
ID65671,4334.0,1072.0,,,,,,,
ID65671,4462.0,1088.0,,,,,,,
ID65671,4591.0,1088.0,,,,,,,
ID65671,4720.0,1088.0,,,,,,,
ID65671,4849.0,1088.0,,,,,,,
ID65671,4977.0,1088.0,,,,,,,
ID65671,5106.0,1088.0,,,,,,,
ID65671,5235.0,1088.0,,,,,,,
ID65671,5363.0,1088.0,,,,,,,
ID65671,5492.0,1088.0,,,,,,,
ID65671,5621.0,1088.0,,,,,,,
ID65671,5749.0,1088.0,,,,,,,
ID65671,5878.0,1088.0,,,,,,,
ID65671,6007.0,1088.0,,,,,,,
ID65671,6135.0,1088.0,,,,,,,
ID65671,6264.0,1088.0,,,,,,,
ID65671,6393.0,1088.0,,,,,,,
ID65671,6521.0,1088.0,,,,,,,
ID65671,6650.0,1088.0,,,,,,,
ID65671,6779.0,1088.0,,,,,,,
ID65671,6907.0,1088.0,,,,,,,
ID65671,,,1088.0,4.740741,0.0,6.936,1088.0,0.129,
,0.0,3856.0,,,,,,,
,100.0,3936.0,,,,,,,
,200.0,4129.0,,,,,,,
,300.0,4401.0,,,,,,,
,400.0,4737.0,,,,,,,
,501.0,4993.0,,,,,,,
,601.0,5329.0,,,,,,,
,701.0,5649.0,,,,,,,
,801.0,5857.0,,,,,,,
,901.0,6065.0,,,,,,,
,1001.0,6113.0,,,,,,,
,1101.0,6193.0,,,,,,,
,1201.0,6193.0,,,,,,,
,1302.0,6241.0,,,,,,,
,1402.0,6289.0,,,,,,,
,1502.0,6353.0,,,,,,,
,1602.0,6385.0,,,,,,,
,1702.0,6481.0,,,,,,,
,1802.0,6465.0,,,,,,,
,1902.0,6481.0,,,,,,,
,2002.0,6497.0,,,,,,,
,2102.0,6577.0,,,,,,,
,2202.0,6641.0,,,,,,,
,2303.0,6673.0,,,,,,,
,2403.0,6705.0,,,,,,,
,2503.0,6705.0,,,,,,,
,2603.0,6593.0,,,,,,,
,2703.0,6577.0,,,,,,,
,2803.0,6497.0,,,,,,,
,2903.0,6305.0,,,,,,,
,3003.0,6241.0,,,,,,,
,3103.0,6097.0,,,,,,,
,3203.0,6033.0,,,,,,,
,3304.0,5969.0,,,,,,,
,3404.0,5937.0,,,,,,,
,3504.0,5921.0,,,,,,,
,3604.0,5473.0,,,,,,,
,3704.0,4273.0,,,,,,,
,3804.0,4257.0,,,,,,,
,3904.0,4225.0,,,,,,,
,4004.0,4225.0,,,,,,,
,4104.0,4129.0,,,,,,,
,4204.0,4161.0,,,,,,,
,4305.0,4161.0,,,,,,,
,4405.0,4209.0,,,,,,,
,4505.0,4353.0,,,,,,,
